,lower_bound,upper_bound,null_hypothesis_holds
Unnamed: 0,0.0,0.0,True
q_flow_station_wait_time_avg,-0.07297353055163605,0.033233294124551865,True
q_flow_station_queue_length_avg,-0.009730258220361096,0.0028529896596342598,True
q_flow_station_busy_avg,-0.009921552190440835,0.0025545284256719915,True
secretary_station_wait_time_avg,-0.07020094541711597,0.5697182341651162,True
secretary_station_queue_length_avg,-0.01577539496014235,0.06065295119689708,True
secretary_station_busy_avg,-0.02171626425265086,0.02890573119062721,True
nurse_station_1_wait_time_avg,-1.1507728615103043,9.020866387501481,True
nurse_station_1_queue_length_avg,0.0007323154593616987,0.2222722175532552,False
nurse_station_1_busy_avg,-0.029188096744333522,0.07506748399349138,True
nurse_station_2_wait_time_avg,-12.621216095801007,1.7351623834338028,True
nurse_station_2_queue_length_avg,-0.2898883684015738,0.05265059786956679,True
nurse_station_2_busy_avg,-0.09985536612330953,-0.001205437793163712,False
nurse_station_3_wait_time_avg,-6.304309042771939,5.2384537996721345,True
nurse_station_3_queue_length_avg,-0.18086122207882685,0.10714230060264004,True
nurse_station_3_busy_avg,-0.08145101676044822,0.021508328202633063,True
nurse_station_4_wait_time_avg,-4.013177374042568,8.627884686943252,True
nurse_station_4_queue_length_avg,-0.09481703667773084,0.2240253939181388,True
nurse_station_4_busy_avg,-0.05179186531637147,0.04971615979404325,True
nurse_station_5_wait_time_avg,-8.555300824607956,3.0700211504249633,True
nurse_station_5_queue_length_avg,-0.21552167643803388,0.06808498089068742,True
nurse_station_5_busy_avg,-0.06251920392010983,0.03757549026640557,True
nurse_station_6_wait_time_avg,-5.527422683384836,4.482648820670631,True
nurse_station_6_queue_length_avg,-0.08482268772170569,0.050813855281186135,True
nurse_station_6_busy_avg,-0.06915401061665241,0.016604041594161616,True
leukemia_doctor_1_wait_time_avg,-3.613131974096776,19.31721481220665,True
leukemia_doctor_1_queue_length_avg,-0.10416111825388247,0.5126119557839846,True
leukemia_doctor_1_busy_avg,-0.026559003819491136,0.05044041897887344,True
leukemia_doctor_2_wait_time_avg,-9.917538340870598,9.07963587473658,True
leukemia_doctor_2_queue_length_avg,-0.264673441780132,0.10376343606932349,True
leukemia_doctor_2_busy_avg,-0.043975165286520776,0.010435009824070245,True
transplant_doctor_1_wait_time_avg,-5.692619523655145,13.220528096277084,True
transplant_doctor_1_queue_length_avg,-0.26742790631194135,0.3705654013828462,True
transplant_doctor_1_busy_avg,-0.045372134766158784,0.02215584669300122,True
transplant_doctor_2_wait_time_avg,-19.897713372757522,9.024811259141785,True
transplant_doctor_2_queue_length_avg,-0.8790681572635471,0.22258382353703599,True
transplant_doctor_2_busy_avg,-0.06421882384526367,0.005216105613771692,True
transplant_doctor_3_wait_time_avg,-9.231405875815753,17.702460813290234,True
transplant_doctor_3_queue_length_avg,-0.425731598165328,0.5552621251886227,True
transplant_doctor_3_busy_avg,-0.035446443693520256,0.02952491758216929,True
other_patients_total_processing_time_avg,-5.143008828306069,2.5213784700560296,True
leukemia_doctor_1_complex_patients_total_processing_time_avg,-15.406023372215168,14.5831109643243,True
leukemia_doctor_1_regular_patients_total_processing_time_avg,-20.75690507028751,6.237536981338211,True
leukemia_doctor_2_complex_patients_total_processing_time_avg,-24.21370306996421,5.646445238056886,True
leukemia_doctor_2_regular_patients_total_processing_time_avg,-27.920669349532005,-6.330153810967424,False
transplant_doctor_1_complex_patients_total_processing_time_avg,-9.65626310547951,18.895419714512546,True
transplant_doctor_1_regular_patients_total_processing_time_avg,-7.535555587146691,14.068095650855119,True
transplant_doctor_2_complex_patients_total_processing_time_avg,-24.51614869029973,17.41655532402998,True
transplant_doctor_2_regular_patients_total_processing_time_avg,-23.411398932648595,5.145482536411695,True
transplant_doctor_3_complex_patients_total_processing_time_avg,-11.082282940638011,33.27181773395925,True
transplant_doctor_3_regular_patients_total_processing_time_avg,-5.330088292816896,22.08601284460311,True
leukemia_doctor_1_scheduled_vs_actual_time_diff_avg,-3.6876315704056077,19.175470648290943,True
leukemia_doctor_2_scheduled_vs_actual_time_diff_avg,-15.416512262880259,2.9271518709643853,True
transplant_doctor_1_scheduled_vs_actual_time_diff_avg,-6.511936700060076,13.579363541687602,True
transplant_doctor_2_scheduled_vs_actual_time_diff_avg,-21.770431861511543,5.899712932682338,True
transplant_doctor_3_scheduled_vs_actual_time_diff_avg,-5.073068248034423,20.854892169317765,True
nurse_station_1_scheduled_vs_actual_time_diff_avg,-3.7424468833000737,6.783296994038324,True
nurse_station_2_scheduled_vs_actual_time_diff_avg,-15.11371780978784,-0.21690099260648843,False
nurse_station_3_scheduled_vs_actual_time_diff_avg,-9.408410930748476,2.919351912854673,True
nurse_station_4_scheduled_vs_actual_time_diff_avg,-5.586434717989471,7.229810076362877,True
nurse_station_5_scheduled_vs_actual_time_diff_avg,-11.74265455584402,0.2836064835957881,True
nurse_station_6_scheduled_vs_actual_time_diff_avg,-4.922766720098111,5.506346843536888,True
